order number,activity,timestamp,user,product,quantity
15,check stock,22-01-2014@09.17,Sue Fox,iPhone5S,2
15,ship order,22-01-2014@09.35,Sara Jones,iPhone5S,3
15,handle payment,22-01-2014@09.43,Sue Fox,iPhone4S,1
16,register order,22-01-2014@09.00,Carol Hope,iPhone4S,3
16,ship order,22-01-2014@09.11,Pete Scott,iPhone5S,1
16,handle payment,22-01-2014@09.30,Pete Scott,iPhone4S,2
17,ship order,22-01-2014@09.00,Carol Hope,iPhone5S,2
17,handle payment,22-01-2014@09.15,Sue Fox,iPhone4S,1
18,register order,22-01-2014@09.00,Sue Fox,iPhone5S,3
18,check stock,22-01-2014@09.14,Sara Jones,iPhone5S,3
18,ship order,22-01-2014@09.21,Sue Fox,iPhone4S,2
19,check stock,22-01-2014@09.00,Sue Fox,iPhone4S,3
19,ship order,22-01-2014@09.19,Sue Fox,iPhone4S,3
19,handle payment,22-01-2014@09.36,Carol Hope,iPhone5S,3
20,register order,22-01-2014@09.00,Sue Fox,iPhone5S,1
20,check stock,22-01-2014@09.10,Carol Hope,iPhone5S,3
20,ship order,22-01-2014@09.26,Sue Fox,iPhone5S,2
20,handle payment,22-01-2014@09.45,Pete Scott,iPhone5S,2
21,ship order,22-01-2014@09.00,Pete Scott,iPhone5S,2
21,handle payment,22-01-2014@09.14,Sara Jones,iPhone5S,2
22,register order,22-01-2014@09.00,Carol Hope,iPhone4S,2
22,check stock,22-01-2014@09.07,Sara Jones,iPhone4S,3
22,ship order,22-01-2014@09.25,Sara Jones,iPhone5S,1
22,handle payment,22-01-2014@09.38,Sue Fox,iPhone5S,2
23,register order,22-01-2014@09.00,Sue Fox,iPhone4S,2
23,check stock,22-01-2014@09.16,Sue Fox,iPhone5S,3
23,ship order,22-01-2014@09.22,Sue Fox,iPhone5S,1
23,handle payment,22-01-2014@09.38,Sue Fox,iPhone4S,2
24,register order,22-01-2014@09.00,Carol Hope,iPhone4S,1
24,check stock,22-01-2014@09.09,Sara Jones,iPhone5S,3
24,ship order,22-01-2014@09.22,Carol Hope,iPhone5S,1
24,handle payment,22-01-2014@09.39,Sara Jones,iPhone5S,3
25,register order,22-01-2014@09.00,Sara Jones,iPhone4S,3
25,check stock,22-01-2014@09.14,Sue Fox,iPhone4S,3
25,ship order,22-01-2014@09.34,Carol Hope,iPhone4S,1
25,handle payment,22-01-2014@09.50,Carol Hope,iPhone5S,1
26,register order,22-01-2014@09.00,Sue Fox,iPhone5S,1
26,check stock,22-01-2014@09.15,Sara Jones,iPhone4S,1
26,ship order,22-01-2014@09.27,Sue Fox,iPhone5S,3
26,handle payment,22-01-2014@09.38,Carol Hope,iPhone4S,1
27,register order,22-01-2014@09.00,Pete Scott,iPhone5S,1
27,check stock,22-01-2014@09.18,Sue Fox,iPhone4S,1
28,register order,22-01-2014@09.00,Sara Jones,iPhone4S,3
28,check stock,22-01-2014@09.05,Sue Fox,iPhone4S,3
28,ship order,22-01-2014@09.16,Sara Jones,iPhone4S,2
28,handle payment,22-01-2014@09.27,Pete Scott,iPhone5S,3
29,register order,22-01-2014@09.00,Sue Fox,iPhone4S,2
29,check stock,22-01-2014@09.14,Sara Jones,iPhone4S,3
29,ship order,22-01-2014@09.30,Sue Fox,iPhone5S,1
29,handle payment,22-01-2014@09.43,Sara Jones,iPhone4S,2
30,register order,22-01-2014@09.00,Sue Fox,iPhone4S,3
30,check stock,22-01-2014@09.08,Sue Fox,iPhone4S,3
30,ship order,22-01-2014@09.20,Sue Fox,iPhone5S,3
30,handle payment,22-01-2014@09.31,Sue Fox,iPhone5S,2
31,check stock,22-01-2014@09.00,Carol Hope,iPhone4S,1
31,ship order,22-01-2014@09.08,Sara Jones,iPhone4S,1
31,handle payment,22-01-2014@09.20,Sue Fox,iPhone4S,2
32,check stock,22-01-2014@09.00,Pete Scott,iPhone5S,2
32,ship order,22-01-2014@09.11,Carol Hope,iPhone4S,3
32,handle payment,22-01-2014@09.21,Sue Fox,iPhone4S,1
33,register order,22-01-2014@09.00,Sue Fox,iPhone5S,2
33,check stock,22-01-2014@09.16,Pete Scott,iPhone5S,2
33,ship order,22-01-2014@09.26,Carol Hope,iPhone4S,1
33,handle payment,22-01-2014@09.33,Sue Fox,iPhone4S,2
34,register order,22-01-2014@09.00,Pete Scott,iPhone5S,1
34,check stock,22-01-2014@09.15,Sue Fox,iPhone4S,1
34,ship order,22-01-2014@09.27,Sara Jones,iPhone4S,3
34,handle payment,22-01-2014@09.40,Sue Fox,iPhone5S,1
35,check stock,22-01-2014@09.00,Carol Hope,iPhone5S,2
35,ship order,22-01-2014@09.05,Pete Scott,iPhone5S,3
35,handle payment,22-01-2014@09.20,Sue Fox,iPhone5S,2
36,register order,22-01-2014@09.00,Sara Jones,iPhone5S,3
36,check stock,22-01-2014@09.19,Sue Fox,iPhone4S,2
36,ship order,22-01-2014@09.31,Sara Jones,iPhone4S,1
36,handle payment,22-01-2014@09.46,Sara Jones,iPhone5S,2
37,register order,22-01-2014@09.00,Pete Scott,iPhone4S,1
37,check stock,22-01-2014@09.20,Sue Fox,iPhone4S,3
37,ship order,22-01-2014@09.34,Carol Hope,iPhone4S,2
37,handle payment,22-01-2014@09.44,Sara Jones,iPhone4S,3
38,register order,22-01-2014@09.00,Sue Fox,iPhone5S,1
38,ship order,22-01-2014@09.16,Sue Fox,iPhone5S,2
39,register order,22-01-2014@09.00,Carol Hope,iPhone4S,2
39,check stock,22-01-2014@09.12,Sara Jones,iPhone4S,3
39,ship order,22-01-2014@09.19,Pete Scott,iPhone5S,2
39,handle payment,22-01-2014@09.29,Sue Fox,iPhone5S,2
40,register order,22-01-2014@09.00,Sue Fox,iPhone5S,2
40,check stock,22-01-2014@09.07,Pete Scott,iPhone4S,2
40,ship order,22-01-2014@09.26,Carol Hope,iPhone4S,3
40,handle payment,22-01-2014@09.32,Carol Hope,iPhone5S,3
41,register order,22-01-2014@09.00,Sara Jones,iPhone5S,3
41,check stock,22-01-2014@09.08,Sue Fox,iPhone5S,3
41,ship order,22-01-2014@09.26,Pete Scott,iPhone5S,3
42,register order,22-01-2014@09.00,Sara Jones,iPhone5S,1
42,check stock,22-01-2014@09.19,Sara Jones,iPhone5S,1
42,handle payment,22-01-2014@09.33,Sara Jones,iPhone5S,2
43,register order,22-01-2014@09.00,Sue Fox,iPhone4S,1
43,check stock,22-01-2014@09.10,Sue Fox,iPhone4S,1
43,ship order,22-01-2014@09.18,Sue Fox,iPhone5S,2
43,handle payment,22-01-2014@09.38,Sara Jones,iPhone4S,3
44,check stock,22-01-2014@09.00,Sara Jones,iPhone5S,1
44,ship order,22-01-2014@09.08,Sue Fox,iPhone5S,1
44,handle payment,22-01-2014@09.22,Pete Scott,iPhone4S,1
45,check stock,22-01-2014@09.00,Sue Fox,iPhone4S,2
45,ship order,22-01-2014@09.18,Carol Hope,iPhone5S,3
45,handle payment,22-01-2014@09.29,Carol Hope,iPhone5S,1
46,register order,22-01-2014@09.00,Carol Hope,iPhone5S,1
46,check stock,22-01-2014@09.17,Carol Hope,iPhone5S,3
46,handle payment,22-01-2014@09.37,Sue Fox,iPhone5S,2
47,register order,22-01-2014@09.00,Pete Scott,iPhone5S,1
47,check stock,22-01-2014@09.12,Pete Scott,iPhone5S,2
47,ship order,22-01-2014@09.24,Carol Hope,iPhone5S,1
47,handle payment,22-01-2014@09.37,Sara Jones,iPhone4S,2
48,register order,22-01-2014@09.00,Sue Fox,iPhone4S,2
48,check stock,22-01-2014@09.13,Pete Scott,iPhone4S,3
48,handle payment,22-01-2014@09.30,Sue Fox,iPhone5S,1
49,register order,22-01-2014@09.00,Carol Hope,iPhone5S,1
49,check stock,22-01-2014@09.20,Carol Hope,iPhone5S,1
49,ship order,22-01-2014@09.39,Sue Fox,iPhone5S,3
49,handle payment,22-01-2014@09.52,Pete Scott,iPhone4S,2
50,register order,22-01-2014@09.00,Pete Scott,iPhone4S,3
50,check stock,22-01-2014@09.10,Pete Scott,iPhone5S,1
50,handle payment,22-01-2014@09.26,Sara Jones,iPhone4S,3
51,register order,22-01-2014@09.00,Pete Scott,iPhone4S,1
51,check stock,22-01-2014@09.12,Pete Scott,iPhone5S,1
51,ship order,22-01-2014@09.19,Sara Jones,iPhone5S,1
51,handle payment,22-01-2014@09.37,Carol Hope,iPhone4S,1
52,register order,22-01-2014@09.00,Sue Fox,iPhone4S,1
52,check stock,22-01-2014@09.18,Pete Scott,iPhone4S,3
52,ship order,22-01-2014@09.25,Pete Scott,iPhone5S,3
52,handle payment,22-01-2014@09.37,Sue Fox,iPhone5S,3
53,check stock,22-01-2014@09.00,Pete Scott,iPhone4S,2
53,ship order,22-01-2014@09.05,Pete Scott,iPhone4S,2
53,handle payment,22-01-2014@09.20,Sue Fox,iPhone4S,2
54,check stock,22-01-2014@09.00,Pete Scott,iPhone4S,1
54,ship order,22-01-2014@09.08,Sue Fox,iPhone5S,3
54,handle payment,22-01-2014@09.18,Carol Hope,iPhone4S,2
55,register order,22-01-2014@09.00,Sara Jones,iPhone5S,1
55,check stock,22-01-2014@09.08,Carol Hope,iPhone5S,1
55,handle payment,22-01-2014@09.22,Carol Hope,iPhone5S,3
56,register order,22-01-2014@09.00,Carol Hope,iPhone4S,1
56,ship order,22-01-2014@09.12,Pete Scott,iPhone4S,2
57,register order,22-01-2014@09.00,Sue Fox,iPhone5S,2
57,check stock,22-01-2014@09.18,Carol Hope,iPhone5S,1
57,handle payment,22-01-2014@09.34,Sara Jones,iPhone5S,1
58,register order,22-01-2014@09.00,Carol Hope,iPhone5S,3
58,check stock,22-01-2014@09.15,Sue Fox,iPhone5S,1
58,ship order,22-01-2014@09.35,Pete Scott,iPhone5S,3
58,handle payment,22-01-2014@09.51,Carol Hope,iPhone5S,1
59,register order,22-01-2014@09.00,Carol Hope,iPhone4S,3
59,check stock,22-01-2014@09.06,Carol Hope,iPhone4S,2
59,ship order,22-01-2014@09.14,Carol Hope,iPhone5S,3
59,handle payment,22-01-2014@09.27,Carol Hope,iPhone4S,2
60,register order,22-01-2014@09.00,Carol Hope,iPhone4S,1
60,check stock,22-01-2014@09.19,Sara Jones,iPhone4S,3
60,ship order,22-01-2014@09.36,Pete Scott,iPhone4S,2
60,handle payment,22-01-2014@09.44,Carol Hope,iPhone5S,2
61,check stock,22-01-2014@09.00,Carol Hope,iPhone4S,1
61,ship order,22-01-2014@09.05,Carol Hope,iPhone5S,3
61,handle payment,22-01-2014@09.15,Pete Scott,iPhone4S,2
62,check stock,22-01-2014@09.00,Sara Jones,iPhone5S,3
62,ship order,22-01-2014@09.19,Sara Jones,iPhone5S,3
62,handle payment,22-01-2014@09.36,Pete Scott,iPhone5S,3
63,register order,22-01-2014@09.00,Sara Jones,iPhone5S,2
63,check stock,22-01-2014@09.18,Sara Jones,iPhone5S,1
63,ship order,22-01-2014@09.31,Sue Fox,iPhone5S,3
63,handle payment,22-01-2014@09.50,Carol Hope,iPhone4S,2
64,register order,22-01-2014@09.00,Pete Scott,iPhone5S,2
64,ship order,22-01-2014@09.13,Sara Jones,iPhone4S,2
65,register order,22-01-2014@09.00,Sue Fox,iPhone4S,1
65,check stock,22-01-2014@09.17,Sue Fox,iPhone4S,1
65,ship order,22-01-2014@09.25,Pete Scott,iPhone4S,3
65,handle payment,22-01-2014@09.38,Sue Fox,iPhone5S,1
66,register order,22-01-2014@09.00,Sara Jones,iPhone5S,2
66,check stock,22-01-2014@09.14,Sue Fox,iPhone4S,1
66,ship order,22-01-2014@09.22,Sara Jones,iPhone4S,2
66,handle payment,22-01-2014@09.41,Sue Fox,iPhone4S,2
67,register order,22-01-2014@09.00,Sara Jones,iPhone5S,1
67,check stock,22-01-2014@09.11,Sue Fox,iPhone5S,1
67,ship order,22-01-2014@09.19,Carol Hope,iPhone5S,2
67,handle payment,22-01-2014@09.33,Sara Jones,iPhone4S,2
68,register order,22-01-2014@09.00,Carol Hope,iPhone4S,3
68,check stock,22-01-2014@09.20,Sara Jones,iPhone4S,2
68,ship order,22-01-2014@09.29,Pete Scott,iPhone5S,3
68,handle payment,22-01-2014@09.34,Carol Hope,iPhone4S,2
69,register order,22-01-2014@09.00,Carol Hope,iPhone5S,2
69,check stock,22-01-2014@09.18,Carol Hope,iPhone4S,3
69,ship order,22-01-2014@09.28,Sara Jones,iPhone4S,3
69,handle payment,22-01-2014@09.44,Sue Fox,iPhone4S,2
70,ship order,22-01-2014@09.00,Pete Scott,iPhone4S,1
70,handle payment,22-01-2014@09.07,Carol Hope,iPhone4S,1
71,register order,22-01-2014@09.00,Sara Jones,iPhone4S,1
71,check stock,22-01-2014@09.13,Carol Hope,iPhone4S,1
71,ship order,22-01-2014@09.28,Pete Scott,iPhone4S,3
71,handle payment,22-01-2014@09.35,Sue Fox,iPhone4S,2
72,register order,22-01-2014@09.00,Carol Hope,iPhone5S,2
72,check stock,22-01-2014@09.10,Pete Scott,iPhone5S,1
72,ship order,22-01-2014@09.20,Carol Hope,iPhone4S,1
72,handle payment,22-01-2014@09.30,Sara Jones,iPhone5S,2
73,register order,22-01-2014@09.00,Carol Hope,iPhone4S,2
73,check stock,22-01-2014@09.16,Sara Jones,iPhone5S,1
73,handle payment,22-01-2014@09.21,Sara Jones,iPhone5S,2
74,register order,22-01-2014@09.00,Pete Scott,iPhone4S,3
74,ship order,22-01-2014@09.10,Sue Fox,iPhone5S,3
74,handle payment,22-01-2014@09.15,Pete Scott,iPhone5S,1
75,register order,22-01-2014@09.00,Pete Scott,iPhone5S,1
75,check stock,22-01-2014@09.10,Pete Scott,iPhone5S,3
75,handle payment,22-01-2014@09.16,Carol Hope,iPhone5S,1
76,check stock,22-01-2014@09.00,Sara Jones,iPhone5S,3
76,ship order,22-01-2014@09.06,Sara Jones,iPhone5S,3
76,handle payment,22-01-2014@09.20,Carol Hope,iPhone5S,2
77,register order,22-01-2014@09.00,Sara Jones,iPhone5S,3
77,check stock,22-01-2014@09.05,Sue Fox,iPhone5S,2
77,ship order,22-01-2014@09.16,Pete Scott,iPhone4S,3
77,handle payment,22-01-2014@09.22,Sue Fox,iPhone5S,3
78,register order,22-01-2014@09.00,Pete Scott,iPhone5S,3
78,check stock,22-01-2014@09.17,Sue Fox,iPhone4S,2
78,ship order,22-01-2014@09.23,Pete Scott,iPhone5S,1
78,handle payment,22-01-2014@09.38,Carol Hope,iPhone5S,3
79,register order,22-01-2014@09.00,Carol Hope,iPhone4S,3
79,check stock,22-01-2014@09.10,Carol Hope,iPhone5S,1
79,ship order,22-01-2014@09.15,Pete Scott,iPhone5S,3
79,handle payment,22-01-2014@09.28,Sue Fox,iPhone5S,2
80,register order,22-01-2014@09.00,Carol Hope,iPhone4S,2
80,check stock,22-01-2014@09.19,Carol Hope,iPhone4S,2
80,ship order,22-01-2014@09.33,Sara Jones,iPhone5S,3
80,handle payment,22-01-2014@09.50,Pete Scott,iPhone4S,2
81,register order,22-01-2014@09.00,Sara Jones,iPhone4S,1
81,check stock,22-01-2014@09.18,Pete Scott,iPhone5S,2
81,ship order,22-01-2014@09.36,Sara Jones,iPhone4S,2
81,handle payment,22-01-2014@09.42,Carol Hope,iPhone4S,3
82,check stock,22-01-2014@09.00,Carol Hope,iPhone4S,2
82,ship order,22-01-2014@09.09,Sue Fox,iPhone5S,2
82,handle payment,22-01-2014@09.26,Carol Hope,iPhone5S,1
83,register order,22-01-2014@09.00,Sue Fox,iPhone5S,3
83,check stock,22-01-2014@09.06,Pete Scott,iPhone5S,3
83,ship order,22-01-2014@09.18,Pete Scott,iPhone5S,3
84,register order,22-01-2014@09.00,Pete Scott,iPhone5S,2
84,check stock,22-01-2014@09.06,Pete Scott,iPhone4S,1
84,ship order,22-01-2014@09.11,Sue Fox,iPhone5S,2
84,handle payment,22-01-2014@09.31,Pete Scott,iPhone5S,3
85,register order,22-01-2014@09.00,Sue Fox,iPhone5S,3
85,check stock,22-01-2014@09.10,Pete Scott,iPhone4S,3
85,ship order,22-01-2014@09.25,Sara Jones,iPhone4S,3
85,handle payment,22-01-2014@09.39,Carol Hope,iPhone4S,1
86,register order,22-01-2014@09.00,Sue Fox,iPhone5S,1
86,check stock,22-01-2014@09.15,Sara Jones,iPhone4S,1
86,ship order,22-01-2014@09.27,Pete Scott,iPhone5S,3
86,handle payment,22-01-2014@09.33,Carol Hope,iPhone5S,3
87,register order,22-01-2014@09.00,Sara Jones,iPhone5S,2
87,check stock,22-01-2014@09.05,Pete Scott,iPhone4S,2
87,ship order,22-01-2014@09.19,Sara Jones,iPhone4S,3
87,handle payment,22-01-2014@09.39,Carol Hope,iPhone5S,1
88,register order,22-01-2014@09.00,Pete Scott,iPhone4S,1
88,check stock,22-01-2014@09.07,Sara Jones,iPhone4S,2
88,ship order,22-01-2014@09.15,Sue Fox,iPhone4S,3
88,handle payment,22-01-2014@09.32,Sara Jones,iPhone4S,2
89,register order,22-01-2014@09.00,Sue Fox,iPhone4S,1
89,check stock,22-01-2014@09.16,Carol Hope,iPhone5S,2
89,ship order,22-01-2014@09.23,Pete Scott,iPhone5S,2
89,handle payment,22-01-2014@09.40,Sara Jones,iPhone4S,2
90,register order,22-01-2014@09.00,Sue Fox,iPhone5S,1
90,check stock,22-01-2014@09.14,Carol Hope,iPhone4S,2
90,ship order,22-01-2014@09.28,Carol Hope,iPhone5S,2
90,handle payment,22-01-2014@09.44,Pete Scott,iPhone5S,3
91,register order,22-01-2014@09.00,Carol Hope,iPhone5S,2
91,check stock,22-01-2014@09.14,Carol Hope,iPhone4S,2
91,ship order,22-01-2014@09.22,Carol Hope,iPhone4S,3
91,handle payment,22-01-2014@09.40,Sara Jones,iPhone4S,3
92,check stock,22-01-2014@09.00,Pete Scott,iPhone4S,3
92,handle payment,22-01-2014@09.17,Pete Scott,iPhone4S,2
93,check stock,22-01-2014@09.00,Sara Jones,iPhone4S,3
93,ship order,22-01-2014@09.06,Sara Jones,iPhone5S,2
93,handle payment,22-01-2014@09.23,Carol Hope,iPhone5S,1
94,register order,22-01-2014@09.00,Pete Scott,iPhone4S,2
94,check stock,22-01-2014@09.09,Carol Hope,iPhone4S,1
94,ship order,22-01-2014@09.15,Sue Fox,iPhone5S,1
94,handle payment,22-01-2014@09.23,Carol Hope,iPhone4S,2
95,register order,22-01-2014@09.00,Pete Scott,iPhone5S,3
95,ship order,22-01-2014@09.19,Sara Jones,iPhone5S,1
96,register order,22-01-2014@09.00,Carol Hope,iPhone4S,2
96,check stock,22-01-2014@09.12,Sara Jones,iPhone5S,3
96,ship order,22-01-2014@09.25,Sue Fox,iPhone4S,1
96,handle payment,22-01-2014@09.45,Sara Jones,iPhone4S,1
97,register order,22-01-2014@09.00,Sara Jones,iPhone5S,2
97,check stock,22-01-2014@09.20,Carol Hope,iPhone4S,2
97,handle payment,22-01-2014@09.29,Pete Scott,iPhone4S,1
98,register order,22-01-2014@09.00,Sara Jones,iPhone4S,3
98,check stock,22-01-2014@09.08,Pete Scott,iPhone5S,3
98,ship order,22-01-2014@09.17,Carol Hope,iPhone4S,2
98,handle payment,22-01-2014@09.24,Carol Hope,iPhone4S,1
99,register order,22-01-2014@09.00,Sara Jones,iPhone4S,1
99,check stock,22-01-2014@09.20,Sue Fox,iPhone4S,1
99,ship order,22-01-2014@09.34,Pete Scott,iPhone5S,1
99,handle payment,22-01-2014@09.51,Sara Jones,iPhone5S,2
100,register order,22-01-2014@09.00,Pete Scott,iPhone5S,1
100,check stock,22-01-2014@09.16,Carol Hope,iPhone4S,2
100,ship order,22-01-2014@09.28,Sue Fox,iPhone4S,1
100,handle payment,22-01-2014@09.35,Carol Hope,iPhone5S,2
101,register order,22-01-2014@09.00,Sue Fox,iPhone5S,1
101,check stock,22-01-2014@09.20,Sue Fox,iPhone4S,1
101,ship order,22-01-2014@09.30,Carol Hope,iPhone5S,2
101,handle payment,22-01-2014@09.44,Carol Hope,iPhone4S,1
102,register order,22-01-2014@09.00,Pete Scott,iPhone5S,1
102,ship order,22-01-2014@09.10,Sue Fox,iPhone4S,2
102,handle payment,22-01-2014@09.30,Pete Scott,iPhone4S,3
103,register order,22-01-2014@09.00,Sue Fox,iPhone4S,2
103,check stock,22-01-2014@09.05,Sara Jones,iPhone4S,3
103,ship order,22-01-2014@09.13,Pete Scott,iPhone5S,3
103,handle payment,22-01-2014@09.28,Sue Fox,iPhone5S,3
104,register order,22-01-2014@09.00,Sue Fox,iPhone5S,1
104,check stock,22-01-2014@09.15,Sara Jones,iPhone5S,1
104,ship order,22-01-2014@09.28,Sara Jones,iPhone4S,1
104,handle payment,22-01-2014@09.45,Pete Scott,iPhone5S,1
105,register order,22-01-2014@09.00,Sue Fox,iPhone5S,2
105,check stock,22-01-2014@09.19,Pete Scott,iPhone4S,1
105,ship order,22-01-2014@09.37,Sara Jones,iPhone5S,1
105,handle payment,22-01-2014@09.47,Sara Jones,iPhone4S,1
106,register order,22-01-2014@09.00,Pete Scott,iPhone5S,3
106,check stock,22-01-2014@09.14,Sue Fox,iPhone4S,1
106,ship order,22-01-2014@09.33,Sara Jones,iPhone4S,1
106,handle payment,22-01-2014@09.42,Pete Scott,iPhone5S,3
107,register order,22-01-2014@09.00,Carol Hope,iPhone4S,3
107,check stock,22-01-2014@09.14,Sara Jones,iPhone5S,1
107,ship order,22-01-2014@09.27,Carol Hope,iPhone5S,2
107,handle payment,22-01-2014@09.36,Pete Scott,iPhone4S,1
108,register order,22-01-2014@09.00,Pete Scott,iPhone4S,2
108,ship order,22-01-2014@09.16,Sue Fox,iPhone5S,1
108,handle payment,22-01-2014@09.33,Sue Fox,iPhone4S,2
109,register order,22-01-2014@09.00,Sue Fox,iPhone4S,3
109,check stock,22-01-2014@09.15,Carol Hope,iPhone5S,2
109,ship order,22-01-2014@09.35,Carol Hope,iPhone4S,1
109,handle payment,22-01-2014@09.55,Sue Fox,iPhone5S,3
110,register order,22-01-2014@09.00,Sara Jones,iPhone5S,3
110,check stock,22-01-2014@09.16,Carol Hope,iPhone4S,1
110,ship order,22-01-2014@09.22,Pete Scott,iPhone4S,2
110,handle payment,22-01-2014@09.27,Carol Hope,iPhone4S,1
111,register order,22-01-2014@09.00,Pete Scott,iPhone4S,2
111,check stock,22-01-2014@09.19,Pete Scott,iPhone5S,1
111,ship order,22-01-2014@09.35,Sara Jones,iPhone5S,1
111,handle payment,22-01-2014@09.41,Sara Jones,iPhone4S,1
112,register order,22-01-2014@09.00,Carol Hope,iPhone4S,3
112,check stock,22-01-2014@09.08,Pete Scott,iPhone4S,3
112,ship order,22-01-2014@09.22,Sue Fox,iPhone5S,1
112,handle payment,22-01-2014@09.39,Pete Scott,iPhone5S,2
113,register order,22-01-2014@09.00,Sara Jones,iPhone4S,2
113,ship order,22-01-2014@09.18,Pete Scott,iPhone5S,1
113,handle payment,22-01-2014@09.31,Sue Fox,iPhone4S,1
114,register order,22-01-2014@09.00,Sue Fox,iPhone5S,2
114,check stock,22-01-2014@09.12,Sara Jones,iPhone4S,1
114,handle payment,22-01-2014@09.26,Sue Fox,iPhone4S,1
115,register order,22-01-2014@09.00,Pete Scott,iPhone4S,3
115,check stock,22-01-2014@09.17,Sara Jones,iPhone5S,1
116,register order,22-01-2014@09.00,Sara Jones,iPhone5S,3
116,check stock,22-01-2014@09.10,Pete Scott,iPhone4S,2
116,ship order,22-01-2014@09.16,Sara Jones,iPhone4S,1
116,handle payment,22-01-2014@09.26,Sara Jones,iPhone4S,1
117,register order,22-01-2014@09.00,Sara Jones,iPhone4S,2
117,check stock,22-01-2014@09.09,Pete Scott,iPhone4S,2
117,handle payment,22-01-2014@09.16,Pete Scott,iPhone5S,1
118,register order,22-01-2014@09.00,Carol Hope,iPhone4S,2
118,check stock,22-01-2014@09.17,Carol Hope,iPhone5S,2
118,ship order,22-01-2014@09.31,Pete Scott,iPhone4S,1
118,handle payment,22-01-2014@09.37,Pete Scott,iPhone5S,1
119,register order,22-01-2014@09.00,Sara Jones,iPhone5S,3
119,check stock,22-01-2014@09.18,Pete Scott,iPhone4S,1
119,ship order,22-01-2014@09.27,Carol Hope,iPhone5S,3
119,handle payment,22-01-2014@09.35,Sue Fox,iPhone5S,3
120,register order,22-01-2014@09.00,Sara Jones,iPhone4S,3
